Name,Protocols,TVL
Ethereum,1212,"$56,9b"
Solana,174,"$7,152b"
Tron,34,"$6,734b"
BSC,808,"$4,913b"
Bitcoin,42,"$3,044b"
Base,380,"$2,885b"
Avalanche,410,"$1,122b"
Sui,43,"$1,121b"
Polygon,581,"$1,08b"
Hyperliquid,3,"$981,55m"
Aptos,49,"$918,77m"
Optimism,269,"$732,1m"
CORE,48,"$666,23m"
Blast,142,"$659,04m"
Mantle,105,"$608,7m"
Linea,124,"$503,3m"
Scroll,109,"$478,86m"
Cronos,115,"$449,34m"
Bitlayer,21,"$440,33m"
PulseChain,44,"$407,97m"
TON,38,"$365,07m"
Thorchain,3,"$352,96m"
Gnosis,75,"$308,78m"
Mode,67,"$273,04m"
Starknet,30,"$259,66m"
Cardano,40,"$258,68m"
dYdX,2,"$225,72m"
BSquared,18,"$217,46m"
Near,28,"$210,08m"
Zircuit,6,"$189,06m"
Rootstock,24,"$187,17m"
Sei,32,"$175,79m"
Merlin,23,"$155,23m"
Kava,141,"$150,03m"
Ronin,4,"$138,63m"
Mixin,10,"$128,62m"
Fantom,331,"$122,57m"
EOS,21,"$120,9m"
Celo,54,"$116,86m"
MultiversX,22,"$109,11m"
Osmosis,17,"$104,66m"
Stacks,12,"$94,43m"
ZKsync Era,123,"$87,36m"
Taiko,35,"$80,49m"
BOB,18,"$76,55m"
Algorand,33,"$75,97m"
Kaia,61,"$62,92m"
Filecoin,22,"$59,89m"
Metis,60,"$52,86m"
Injective,24,"$52,79m"
BounceBit,13,"$49,23m"
ICP,10,"$49,22m"
Hedera,12,"$48,47m"
Hydration,1,"$48,32m"
zkLink Nova,23,"$43,49m"
Telos,41,"$42,06m"
Manta,63,"$41,15m"
Fraxtal,16,"$40,73m"
Neutron,11,"$39,73m"
re.al,10,"$38,89m"
Tezos,20,"$38,73m"
Fuel Ignition,3,"$36,06m"
Cronos zkEVM,10,"$26,35m"
Mayachain,1,"$24,63m"
IOTA EVM,8,"$24,17m"
Flow,11,"$23,56m"
Bifrost Network,4,"$23,11m"
Moonbeam,61,"$22,12m"
Kujira,15,"$21,74m"
K2,2,"$21,4m"
opBNB,39,"$20,92m"
Astar,43,"$20,19m"
Chainflip,1,"$19,45m"
IoTeX,31,"$19,1m"
Radix,12,"$19,07m"
Stellar,9,"$17,56m"
MAP Protocol,9,"$17,25m"
Flare,16,"$16,26m"
Rollux,5,"$16,01m"
Aurora,60,"$15,71m"
XRPL,6,"$14,62m"
ApeChain,7,"$14,6m"
WEMIX3.0,12,"$14,48m"
Reya Network,3,"$14,07m"
NEO,6,"$13,95m"
Conflux,16,"$13,87m"
Immutable zkEVM,3,"$13,47m"
Bitcoincash,3,"$12,94m"
Icon,6,"$12,06m"
Waves,9,"$11,85m"
